hotelName,url,coordinates,score,description,city,longitude,latitude
Château Saint Gilles,https://www.booking.com/hotel/fr/chateau-saint-gilles.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.712469,49.249366"," 9,7 ","Situé à Bayeux, à 4 km du musée Baron Gérard, le Château Saint Gilles propose un restaurant, un parking privé gratuit, un bar et un salon commun. ",Bayeux,-0.712469,49.249366
Manoir Sainte Victoire,https://www.booking.com/hotel/fr/manoir-sainte-victoire.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.705759599804878,49.2764917090797"," 9,7 ","Doté d'un jardin et d'une connexion Wi-Fi gratuite, le Manoir Sainte Victoire propose des hébergements bien situés à Bayeux, à proximité du musée Baron Gérard, de la cathédrale Notre-Dame de Bayeux et...",Bayeux,-0.705759599804878,49.2764917090797
"Hôtel particulier ""le clos de la croix""",https://www.booking.com/hotel/fr/particulier-quot-le-clos-de-la-croix-quot.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.701677,49.277964"," 9,8 ","Offrant une vue sur le jardin, l'Hôtel particulier ""le clos de la croix"" est situé à Bayeux. Il propose un salon commun, un jardin et une terrasse. ",Bayeux,-0.701677,49.277964
Le Petit Matin,https://www.booking.com/hotel/fr/le-petit-matin.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.709055364131927,49.2760613343073"," 9,5 ",Cette maison d'hôtes occupe un bâtiment du XVIIIème siècle dans le quartier historique de Bayeux. ,Bayeux,-0.709055364131927,49.2760613343073
Le Chat Qui Veille,https://www.booking.com/hotel/fr/gite-6-47-9-personnes-bayeux.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.714551,49.284642"," 9,8 ","Situé à 1 km de la cathédrale Notre-Dame de Bayeux, Situé à Bayeux, l'établissement Le Chat Qui Veille dispose d'un barbecue et d'un jardin. ",Bayeux,-0.714551,49.284642
Villa Lara Hotel,https://www.booking.com/hotel/fr/villa-lara-ha-tel.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.700964480638504,49.2755188580872"," 9,7 ","La Villa Lara Hotel est un petit boutique hôtel de luxe situé dans le centre historique de Bayeux, en face de la cathédrale du XIe siècle et à seulement 2 minutes à pied de la Tapisserie de Bayeux. ",Bayeux,-0.700964480638504,49.2755188580872
La Colline,https://www.booking.com/hotel/fr/la-colline-bayeux.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.698704700000008,49.2739941"," 9,6 ","La Colline est située dans le centre-ville de Bayeux et dispose d'une connexion Wi-Fi et d'un parking gratuits, ainsi que d'un jardin avec une terrasse. ",Bayeux,-0.698704700000008,49.2739941
Clos de Bellefontaine B&B,https://www.booking.com/hotel/fr/chambres-d-ha-tes-clos-de-bellefontaine-bayeux.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.694861114025116,49.2726716350644"," 9,7 ","Le Clos de Bellefontaine occupe une maison du XIXe siècle dans un parc de 2 000 m², située à seulement 200 mètres du musée de la Tapisserie de Bayeux et à 6 km d'Omaha Beach. ",Bayeux,-0.694861114025116,49.2726716350644
Ferme De La Fontaine,https://www.booking.com/hotel/fr/ferme-de-la-fontaine.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.7076096534729,49.2658272151273"," 9,8 ","Dotée d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, la Ferme De La Fontaine propose un hébergement à Bayeux, à seulement 1,2 km du musée de la Bataille de Normandie. ",Bayeux,-0.7076096534729,49.2658272151273
LOGIS DU GRAND PIN,https://www.booking.com/hotel/fr/logis-du-grand-pin.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaBWIAQGYAQ24ARjIAQ3YAQHoAQH4AQOIAgGoAgS4AsyTy4oGwAIB0gIkNzJiZjQ1YTAtNjdjMy00OGRlLWEzNjMtODhlMTU3ZThiN2I02AIF4AIB&sid=82d24b2037abfb1913c78fe3322498f0&dest_id=-1410836&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815564&srpvid=793c3766b86e013f&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"-0.6698477,49.2520036"," 9,6 ","Offrant une vue sur le jardin, le LOGIS DU GRAND PIN est situé à Bayeux, à 3,9 km du musée de la Tapisserie de Bayeux. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. ",Bayeux,-0.6698477,49.2520036
