hotelName,url,coordinates,score,description,longitude,latitude,City,PopAvg5d,TempAvg5d
Résidence Odalys Fleur de Sel,https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.179246,43.574094"," 8,4 ","Situé à Aigues-Mortes, à 5 minutes à pied du centre-ville historique, l'établissement Résidence Odalys Fleur de Sel dispose d'une piscine extérieure chauffée ouverte en saison. ",4.179246,43.574094,Aigues Mortes,0.15,29.41
Hotel Canal Aigues Mortes,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.19482469558716,43.5729875200846"," 8,7 ","L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue sur le canal depuis sa terrasse panoramique et sa piscine. ",4.19482469558716,43.5729875200846,Aigues Mortes,0.15,29.41
Maison des Croisades,https://www.booking.com/hotel/fr/des-croisades.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.18829819999996,43.5689974"," 8,9 ","Située à Aigues-Mortes, la Maison des Croisades propose un service de location de vélos et un jardin. Il dispose d'une connexion Wi-Fi gratuite et d'une terrasse. ",4.18829819999996,43.5689974,Aigues Mortes,0.15,29.41
Hôtel Le Médiéval,https://www.booking.com/hotel/fr/le-medieval.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.19366168974193,43.5718662531651"," 7,4 ","L'Hôtel Le Médiéval est situé sur les rives du canal d'Aigues-Mortes, à 30 km de Montpellier. ",4.19366168974193,43.5718662531651,Aigues Mortes,0.15,29.41
Hôtel Saint Louis,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.18934360146523,43.5672196715711"," 8,5 ","Doté d’un spa et d’un restaurant, l’Hôtel Saint Louis propose des hébergements climatisés dans le centre historique d'Aigues-Mortes, à 190 mètres de la tour de Constance. ",4.18934360146523,43.5672196715711,Aigues Mortes,0.15,29.41
Résidence Odalys Le Mas des Flamants,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.18062186221505,43.5737943531084"," 8,0 ","Située à l'extérieur des fortifications d'Aigues-Mortes, sur les rives du Vidourle, la Résidence Odalys Le Mas des Flamants possède une piscine et des pataugeoires. ",4.18062186221505,43.5737943531084,Aigues Mortes,0.15,29.41
Ô 36 Rempart Sud B&B,https://www.booking.com/hotel/fr/o-36-rempart-sud.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.188757,43.565764"," 9,5 ","Situé à Aigues-Mortes, à 44 km de Nîmes, l'Ô 36 Rempart Sud B&B dispose d'une terrasse et d'une connexion Wi-Fi gratuite. ",4.188757,43.565764,Aigues Mortes,0.15,29.41
Mas de la Montille,https://www.booking.com/hotel/fr/mas-de-la-montille.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.2392098903656,43.5838648630342"," 9,1 ","Le Mas de la Montille est situé à Aigues-Mortes, à 10 km de la plage de l'Espiguette. Il possède une piscine ouverte en saison et un jardin avec verger. ",4.2392098903656,43.5838648630342,Aigues Mortes,0.15,29.41
B&B La Terre Brûlée,https://www.booking.com/hotel/fr/b-amp-b-la-terre-brulee.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.20767969391784,43.5619761165655"," 9,3 ","Situé à Aigues-Mortes, à 45 km de Nîmes, le B&B La Terre Brûlée dispose d'une piscine extérieure ouverte en saison et d'une connexion Wi-Fi gratuite. ",4.20767969391784,43.5619761165655,Aigues Mortes,0.15,29.41
Les suites du 17,https://www.booking.com/hotel/fr/les-suites-du-17.fr.html?label=gen173nr-1DCAQoggJCE3NlYXJjaF9haWd1ZXNtb3J0ZXNIDVgEaBWIAQGYAQ24ARjIAQ3YAQPoAQH4AQOIAgGoAgS4AtrSp4oGwAIB0gIkY2FhOTc2NWQtZTViZS00ODY4LWE5MzItYTJiZWI1OTUzMTNj2AIE4AIB&sid=79a5d37a5f48705ef1767d06787a201a&dest_id=-1406800&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632233818&srpvid=7ae4646d3c62001b&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"4.191121,43.566227"," 9,1 ","Situé à Aigues-Mortes, l'établissement Les suites du 17 Il propose un jardin, une terrasse et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Chaque chambre est dotée d'une terrasse. ",4.191121,43.566227,Aigues Mortes,0.15,29.41
